 Date , a , c , x , y , Treatment , d1 , d2 , chi1_1 , chi1_2 , chi1_3 , chi1_4 , chi2_1 , chi2_2 , chi2_3 , chi2_4 , ugroupid , uid , upartnerid , Session , Period , Subject , Group , ActionAB , ActionCD , NumAC , NumAD , NumBC , NumBD , CountAC , CountAD , CountBC , CountBD , Partner , partnerAB , partnerCD , NumCorrectNGQ , correctNGQ_1 , correctNGQ_2 , correctNGQ_3 , correctNGQ_4 , correctNGQ_5 , correctNGQ_6 , correctNGQ_7 , invest1_1 , invest1_2 , invest1_3 , invest1_4 , invest2_1_1 , invest2_1_2 , invest2_1_3 , invest2_1_4 , invest2_2_1 , invest2_2_2 , invest2_2_3 , invest2_2_4 , NumCorrectLT1Q , correctLT1Q_1 , correctLT1Q_2 , correctLT1Q_3 , NumCorrectLT2Q , correctLT2Q_1 , correctLT2Q_2 , 
20141121.0000000000 ,10.0000000000 ,56.0000000000 ,100.0000000000 ,160.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,2.2500000000 ,2.7500000000 ,3.5000000000 ,5.5000000000 ,2.2000000000 ,2.5000000000 ,3.0000000000 ,4.0000000000 ,10003.0000000000 ,10011.0000000000 ,10009.0000000000 ,1.0000000000 ,1.0000000000 ,11.0000000000 ,3.0000000000 ,0.0000000000 ,0.0000000000 ,2.0000000000 ,0.0000000000 ,1.0000000000 ,1.0000000000 ,2.0000000000 ,0.0000000000 ,1.0000000000 ,1.0000000000 ,9.0000000000 ,1.0000000000 ,0.0000000000 ,7.0000000000 ,1.0000000000 ,1.0000000000 ,1.0000000000 ,1.0000000000 ,1.0000000000 ,1.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 , 
20141121.0000000000 ,10.0000000000 ,56.0000000000 ,100.0000000000 ,160.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,2.2500000000 ,2.7500000000 ,3.5000000000 ,5.5000000000 ,2.2000000000 ,2.5000000000 ,3.0000000000 ,4.0000000000 ,10003.0000000000 ,10012.0000000000 ,10010.0000000000 ,1.0000000000 ,1.0000000000 ,12.0000000000 ,3.0000000000 ,1.0000000000 ,1.0000000000 ,2.0000000000 ,0.0000000000 ,1.0000000000 ,1.0000000000 ,2.0000000000 ,0.0000000000 ,1.0000000000 ,1.0000000000 ,10.0000000000 ,0.0000000000 ,0.0000000000 ,4.0000000000 ,1.0000000000 ,0.0000000000 ,1.0000000000 ,1.0000000000 ,0.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 , 
20141121.0000000000 ,10.0000000000 ,56.0000000000 ,100.0000000000 ,160.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,2.2500000000 ,2.7500000000 ,3.5000000000 ,5.5000000000 ,2.2000000000 ,2.5000000000 ,3.0000000000 ,4.0000000000 ,10001.0000000000 ,10001.0000000000 ,10003.0000000000 ,1.0000000000 ,2.0000000000 ,1.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,2.0000000000 ,0.0000000000 ,2.0000000000 ,0.0000000000 ,4.0000000000 ,0.0000000000 ,3.0000000000 ,1.0000000000 ,3.0000000000 ,1.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 , 
20141121.0000000000 ,10.0000000000 ,56.0000000000 ,100.0000000000 ,160.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,2.2500000000 ,2.7500000000 ,3.5000000000 ,5.5000000000 ,2.2000000000 ,2.5000000000 ,3.0000000000 ,4.0000000000 ,10001.0000000000 ,10002.0000000000 ,10004.0000000000 ,1.0000000000 ,2.0000000000 ,2.0000000000 ,1.0000000000 ,1.0000000000 ,0.0000000000 ,2.0000000000 ,0.0000000000 ,2.0000000000 ,0.0000000000 ,4.0000000000 ,0.0000000000 ,3.0000000000 ,1.0000000000 ,4.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 , 
20141121.0000000000 ,10.0000000000 ,56.0000000000 ,100.0000000000 ,160.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,2.2500000000 ,2.7500000000 ,3.5000000000 ,5.5000000000 ,2.2000000000 ,2.5000000000 ,3.0000000000 ,4.0000000000 ,10001.0000000000 ,10003.0000000000 ,10001.0000000000 ,1.0000000000 ,2.0000000000 ,3.0000000000 ,1.0000000000 ,1.0000000000 ,0.0000000000 ,2.0000000000 ,0.0000000000 ,2.0000000000 ,0.0000000000 ,4.0000000000 ,0.0000000000 ,3.0000000000 ,1.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 , 
20141121.0000000000 ,10.0000000000 ,56.0000000000 ,100.0000000000 ,160.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,2.2500000000 ,2.7500000000 ,3.5000000000 ,5.5000000000 ,2.2000000000 ,2.5000000000 ,3.0000000000 ,4.0000000000 ,10001.0000000000 ,10004.0000000000 ,10002.0000000000 ,1.0000000000 ,2.0000000000 ,4.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,2.0000000000 ,0.0000000000 ,2.0000000000 ,0.0000000000 ,4.0000000000 ,0.0000000000 ,3.0000000000 ,1.0000000000 ,2.0000000000 ,1.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 , 
20141121.0000000000 ,10.0000000000 ,56.0000000000 ,100.0000000000 ,160.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,2.2500000000 ,2.7500000000 ,3.5000000000 ,5.5000000000 ,2.2000000000 ,2.5000000000 ,3.0000000000 ,4.0000000000 ,10002.0000000000 ,10005.0000000000 ,10006.0000000000 ,1.0000000000 ,2.0000000000 ,5.0000000000 ,2.0000000000 ,1.0000000000 ,1.0000000000 ,0.0000000000 ,1.0000000000 ,2.0000000000 ,1.0000000000 ,0.0000000000 ,1.0000000000 ,4.0000000000 ,3.0000000000 ,6.0000000000 ,1.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 , 
20141121.0000000000 ,10.0000000000 ,56.0000000000 ,100.0000000000 ,160.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,2.2500000000 ,2.7500000000 ,3.5000000000 ,5.5000000000 ,2.2000000000 ,2.5000000000 ,3.0000000000 ,4.0000000000 ,10002.0000000000 ,10006.0000000000 ,10005.0000000000 ,1.0000000000 ,2.0000000000 ,6.0000000000 ,2.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,1.0000000000 ,2.0000000000 ,1.0000000000 ,0.0000000000 ,1.0000000000 ,4.0000000000 ,3.0000000000 ,5.0000000000 ,1.0000000000 ,1.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 , 
20141121.0000000000 ,10.0000000000 ,56.0000000000 ,100.0000000000 ,160.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,2.2500000000 ,2.7500000000 ,3.5000000000 ,5.5000000000 ,2.2000000000 ,2.5000000000 ,3.0000000000 ,4.0000000000 ,10002.0000000000 ,10007.0000000000 ,10008.0000000000 ,1.0000000000 ,2.0000000000 ,7.0000000000 ,2.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,1.0000000000 ,2.0000000000 ,1.0000000000 ,0.0000000000 ,1.0000000000 ,4.0000000000 ,3.0000000000 ,8.0000000000 ,0.0000000000 ,1.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 , 
20141121.0000000000 ,10.0000000000 ,56.0000000000 ,100.0000000000 ,160.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,2.2500000000 ,2.7500000000 ,3.5000000000 ,5.5000000000 ,2.2000000000 ,2.5000000000 ,3.0000000000 ,4.0000000000 ,10002.0000000000 ,10008.0000000000 ,10007.0000000000 ,1.0000000000 ,2.0000000000 ,8.0000000000 ,2.0000000000 ,0.0000000000 ,1.0000000000 ,0.0000000000 ,1.0000000000 ,2.0000000000 ,1.0000000000 ,0.0000000000 ,1.0000000000 ,4.0000000000 ,3.0000000000 ,7.0000000000 ,1.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 , 
20141121.0000000000 ,10.0000000000 ,56.0000000000 ,100.0000000000 ,160.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,2.2500000000 ,2.7500000000 ,3.5000000000 ,5.5000000000 ,2.2000000000 ,2.5000000000 ,3.0000000000 ,4.0000000000 ,10003.0000000000 ,10009.0000000000 ,10010.0000000000 ,1.0000000000 ,2.0000000000 ,9.0000000000 ,3.0000000000 ,0.0000000000 ,0.0000000000 ,3.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,5.0000000000 ,1.0000000000 ,1.0000000000 ,1.0000000000 ,10.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 , 
20141121.0000000000 ,10.0000000000 ,56.0000000000 ,100.0000000000 ,160.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,2.2500000000 ,2.7500000000 ,3.5000000000 ,5.5000000000 ,2.2000000000 ,2.5000000000 ,3.0000000000 ,4.0000000000 ,10003.0000000000 ,10010.0000000000 ,10009.0000000000 ,1.0000000000 ,2.0000000000 ,10.0000000000 ,3.0000000000 ,0.0000000000 ,0.0000000000 ,3.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,5.0000000000 ,1.0000000000 ,1.0000000000 ,1.0000000000 ,9.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 , 
20141121.0000000000 ,10.0000000000 ,56.0000000000 ,100.0000000000 ,160.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,2.2500000000 ,2.7500000000 ,3.5000000000 ,5.5000000000 ,2.2000000000 ,2.5000000000 ,3.0000000000 ,4.0000000000 ,10003.0000000000 ,10011.0000000000 ,10012.0000000000 ,1.0000000000 ,2.0000000000 ,11.0000000000 ,3.0000000000 ,0.0000000000 ,1.0000000000 ,3.0000000000 ,1.0000000000 ,0.0000000000 ,0.0000000000 ,5.0000000000 ,1.0000000000 ,1.0000000000 ,1.0000000000 ,12.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 ,0.0000000000 ,       NaN ,0.0000000000 ,0.0000000000 , 
